UPLOAD ID,ENTRY DATE,CALLSIGN CODE,AIRCRAFT CODE,DEPARTURE,DESTINATION,ENTRY FIX,EXIT FIX,MOVEMENT TYPE,ENTRY TIME,EXIT TIME,REMARKS,INFORMATION,COMMENTS
1929900,2023-01-01T00:00:00.000+04:00,FDB1,B38M,OMDB,OTHH,OMDB,TOSNA,,514,541, Period:Not Found,A6FMJ,
1929901,2023-01-01T00:00:00.000+04:01,QTR8029,B77L,ZGGG,OTHH,MENSA,TOSNA,,515,549,,A7BFU,
1929902,2023-01-01T00:00:00.000+04:02,UAE59,B77W,OMDB,EDDH,OMDB,TUMAK,,516,537,,A6EPM,
1929903,2023-01-01T00:00:00.000+04:03,QSM2210,A320,OIIE,OMDB,ORSAR,OMDB,,516,540,,EPFQP,
1929904,2023-01-01T00:00:00.000+04:04,UAE127,B77W,OMDB,LOWW,OMDB,TUMAK,,517,539,,A6ENL,
1929905,2023-01-01T00:00:00.000+04:05,DHX261,B763,OBBI,OMDB,NALPO,OMDB,,517,545,,A9CDHW,
1929906,2023-01-01T00:00:00.000+04:06,BAW276,B788,VOHS,EGLL,MENSA,TUMAK,,517,547,,GZBJJ,
1929907,2023-01-01T00:00:00.000+04:07,UAE14E,A388,OMDB,KLAX,OMDB,GABKO,,518,531,,A6EVC,
1929908,2023-01-01T00:00:00.000+04:08,KZR895,A21N,UAAA,OMDB,PATAT,OMDB,,518,538,,EIKGJ,
1929909,2023-01-01T00:00:00.000+04:09,UAE9CL,A388,OMDB,EDDM,OMDB,TUMAK,,520,542,,A6EUJ,
1929910,2023-01-01T00:00:00.000+04:10,UPS25,B748,OMSJ,EDDK,OMSJ,ALPOB,,520,544,,N623UP,
1929911,2023-01-01T00:00:00.000+04:11,AXB889,B738,VOML,OBBI,SODEX,ORMID,,520,549,,VTAXX,
1929912,2023-01-01T00:00:00.000+04:12,OMA603,B38M,OOMS,OMDB,SOLUD,OMDB,,521,542,,A4OMK,
1929913,2023-01-01T00:00:00.000+04:13,ETD321,A321,OMAA,OEDF,OMAA,ORMID,,521,542,,A6AEB,
1929914,2023-01-01T00:00:00.000+04:14,UAE52M,B77W,OMDB,EDDF,OMDB,TUMAK,,521,544,,A6EQN,
1929915,2023-01-01T00:00:00.000+04:15,IGO1682,A20N,OTHH,VOHS,NAMLA,TONVO,,522,547,,VTISW,
1929916,2023-01-01T00:00:00.000+04:16,BRU728,B38M,OMSJ,UMMS,OMSJ,GABKO,,523,533,,EW528PA,
1929917,2023-01-01T00:00:00.000+04:17,UAE81,B77W,OMDB,LFLL,OMDB,TUMAK,,523,545,,A6EBQ,
1929918,2023-01-01T00:00:00.000+04:18,ABY734,A21N,OMSJ,HKJK,OMSJ,MEMTU,,525,549,,A6ATF,
1929919,2023-01-01T00:00:00.000+04:19,FDB5GD,B738,OMDB,UWKD,OMDB,GABKO,,525,536,,A6FEQ,
1929920,2023-01-01T00:00:00.000+04:20,UAE97,A388,OMDB,LIRF,OMDB,TUMAK,,526,548,,A6EEO,
1929921,2023-01-01T00:00:00.000+04:21,UAE261,A388,OMDB,SBGR,OMDB,ALPOB,,527,550,,A6EUE,
1929922,2023-01-01T00:00:00.000+04:22,ADY450,A320,OMAA,OLBA,OMAA,TUMAK,,528,548,,A6AUA,
1929923,2023-01-01T00:00:00.000+04:23,ABY954,A320,OMSJ,UUDD,OMSJ,GABKO,,528,538,,A6ANC,
1929924,2023-01-01T00:00:00.000+04:24,FDX5460,B77L,LFPG,VABB,NALPO,TONVO,,529,547,,N880FD,
1929925,2023-01-01T00:00:00.000+04:25,ADY010,A320,OMAA,OBBI,OMAA,ORMID,,529,551,,A6AUI,
1929926,2023-01-01T00:00:00.000+04:26,UAE93,B77W,OMDB,LIPE,OMDB,TUMAK,,529,551,,A6ECJ,
1929927,2023-01-01T00:00:00.000+04:27,SVA987,B77L,VTBS,OERK,LUDID,PEKEM,,529,540,,HZAK73,
1929928,2023-01-01T00:00:00.000+04:28,ABY720,A21N,OMSJ,HUEN,OMSJ,MEMTU,,530,554,,A6ATE,
1929929,2023-01-01T00:00:00.000+04:29,UAE398,B77W,OMDB,WADD,OMDB,GOMTA,,530,545,,A6ENC,
1929930,2023-01-01T00:00:00.000+04:30,UAE5DC,B77W,OMDB,LKPR,OMDB,TUMAK,,531,553,,A6ENK,
1929931,2023-01-01T00:00:00.000+04:31,FDB9YD,B38M,OMDB,LYBE,OMDB,GABKO,,533,545,,A6FMF,
1929932,2023-01-01T00:00:00.000+04:32,FDB611,B38M,OMDB,HJJJ,OMDB,MEMTU,,534,557,,A6FPD,
1929933,2023-01-01T00:00:00.000+04:33,XRO897,F900,OBBI,VTBD,NALPO,TONVO,,534,553,,PHSTB,
1929934,2023-01-01T00:00:00.000+04:34,HLF9859,B77L,ZGSZ,OERK,MENSA,ALPOB,,535,605,,B2079,
1929935,2023-01-01T00:00:00.000+04:35,UAE133,A388,OMDB,UUDD,OMDB,GABKO,,536,546,,A6EER,
1929936,2023-01-01T00:00:00.000+04:36,ETD141,B789,OMAA,CYYZ,OMAA,GABKO,,536,555,,A6BLH,
1929937,2023-01-01T00:00:00.000+04:37,CFRJZ,ASTR,OMAD,LGAV,OMAD,ALPOB,,536,557,,,
1929938,2023-01-01T00:00:00.000+04:38,ABY562,A320,OMSJ,OPFA,OMSJ,GABKO,,536,548,,A6AOE,
1929939,2023-01-01T00:00:00.000+04:39,A6AWJ,A139,OMAA,OMAS,OMAA,OMAS,,537,625,,,
1929940,2023-01-01T00:00:00.000+04:40,UAE4PV,A388,OMDB,LIMC,OMDB,TUMAK,,537,558,,A6EEZ,
1929941,2023-01-01T00:00:00.000+04:41,IGO026,A20N,VOHS,OMDB,PASOV,OMDB,,538,557,,VTIPE,
1929942,2023-01-01T00:00:00.000+04:42,JZR121,A20N,OKBK,OMDB,OBNET,OMDB,,538,604,,9KCBC,
1929943,2023-01-01T00:00:00.000+04:43,UAE9EC,B77W,OMDB,LIPZ,OMDB,TUMAK,,539,600,,A6ECU,
1929944,2023-01-01T00:00:00.000+04:44,KNE328,A20N,VOCL,OERK,MENSA,ALPOB,,539,612,,HZNS39,
1929946,2023-01-01T00:00:00.000+04:45,AXB582,B738,OEDF,VOTV,OVONA,LABRI,,539,559,,VTAYD,
1929947,2023-01-01T00:00:00.000+04:46,ETD58B,B789,OMAA,EHAM,OMAA,TUMAK,,540,600,,A6BLR,
1929948,2023-01-01T00:00:00.000+04:47,A6AWF,A139,OMAA,ZZZZ,OMAA,OMAA,,541,553,,,
1929949,2023-01-01T00:00:00.000+04:48,FDX5384,B77L,LFPG,VIDP,NALPO,TONVO,,541,559,,N864FD,
